palabra,contador
letras,27
jefe,4
campan,8
lazos,22
trump,1
ratings,4
transcripcion,24
casa,12
acuerdo,18
revista,5
decreto,6
auditorio,39
donald,8
apoyo,14
loco,13
japon,30
mandatario,16
candidato,6
tusk,2
corresponde,5
presidente,1
mexico,11
muro,25
dolar,1
multimillonario,17
canciller,8
analistas,17
mundial,28
campan,4
acuerdo,12
bart,7
frases,4
,28
reforzar,8
estadounidenses,25
impuestos,34
n,33
washington,16
blanca,6
presidente,11
presidente,7
paises,15
diario,3
alemana,7
obama,24
fondo,7
administracion,15
,41
chile,12
presidente,15
campan,11
,16
pagar,13
decision,7
casa,21
fenomeno,76
americano,6
director,24
importaciones,34
bachelet,3
decision,7
,9
partido,18
acuerdos,3
numeros,24
mandatario,7
gorkov,17
netanyahu,20
lider,31
familia,8
ganar,4
secretario,27
padres,10
ministro,20
historiador,65
discurso,7
internacionales,30
banco,9
jueves,17
blanca,8
angela,10
,18
,7
realdonaldtrump,16
be,18
pais,3
agentes,5
espera,13
escenario,43
estados,6
kremlin,5
