"NOMBRE","SUBCATEGORIA","Direccion","Latitud","Longitud","TIPO","AÑO CONSTRUCCIÓN","SENTIDO","CAPACIDAD"
"Baquedano","ESTACIONES DE METRO","","-33.437036","-70.633527","","","",""
"Francisco Bilbao","ESTACIONES DE METRO","","-33.431484","-70.584641","","","",""
"Los Leones","ESTACIONES DE METRO","","-33.422164","-70.60859","","","",""
"Manuel Montt","ESTACIONES DE METRO","","-33.428341","-70.619209","","","",""
"Parque Bustamante","ESTACIONES DE METRO","","-33.442787","-70.63163","","","",""
"Pedro de Valdivia","ESTACIONES DE METRO","","-33.425465","-70.614273","","","",""
"Santa Isabel","ESTACIONES DE METRO","","-33.447102","-70.630402","","","",""
"Tobalaba","ESTACIONES DE METRO","","-33.418145","-70.601353","","","",""
"Cristóbal Colón","ESTACIONES DE METRO","","-33.426224","-70.590973","","","",""
"Salvador","ESTACIONES DE METRO","","-33.433107","-70.626585","","","",""
"PLAZA FELIPE DAWES","ESTACIONAMIENTOS SUBTERRÁNEOS CONCESIONADOS","SUBSUELO NUEVA PROVIDENCIA CON DR. MANUEL BARROS BORGOÑO","-33.4290999","-70.6188565","","","",""
"PEDRO DE VALDIVIA","ESTACIONAMIENTOS SUBTERRÁNEOS CONCESIONADOS","SUBSUELO PROVIDENCIA ALT. 2025","-33.4233132","-70.6119552","","","",""
"GUARDIA VIEJA","ESTACIONAMIENTOS SUBTERRÁNEOS CONCESIONADOS","SUBSUELO PROVIDENCIA ALT. 2125","-33.4225051","-70.6108019","","","",""
"LYON","ESTACIONAMIENTOS SUBTERRÁNEOS CONCESIONADOS","SUBSUELO PROVIDENCIA ALT. 2211","-33.4217372","-70.6095761","","","",""
"MARCHANT PEREIRA","ESTACIONAMIENTOS SUBTERRÁNEOS CONCESIONADOS","SUBSUELO PROVIDENCIA ALT. 1941","-33.4246183","-70.613519","","","",""
"PEDRO DE VALDIVIA 963","ESTACIONAMIENTOS SUBTERRÁNEOS CONCESIONADOS","PEDRO DE VALDIVIA 963, ENTRADA POR CARLOS LARRAÍN CLARO","-33.432623","-70.609785","","","",""
"PC1","PARADEROS TRANSANTIAGO","PC1 - Parada 3 / (M) Manuel Montt","-33.4294825258123","-70.6193669235053","","","",""
"PC2","PARADEROS TRANSANTIAGO","PC2 - Parada 7 / (M) Pedro   De Valdivia","-33.4269088548349","-70.6159019687575","","","",""
"PC3","PARADEROS TRANSANTIAGO","PC3 - Parada 9 / (M) Pedro   De Valdivia","-33.4253319375985","-70.6118089508191","","","",""
"PC4","PARADEROS TRANSANTIAGO","PC4 - Av. Pedro De Valdivia Esq. / Carlos Antúnez","-33.4285529894509","-70.6106049475472","","","",""
"PC5","PARADEROS TRANSANTIAGO","PC5 - Parada 1 / Municipalidad   De Providencia","-33.43123394512","-70.6096350451013","","","",""
"PC6","PARADEROS TRANSANTIAGO","PC6 - Av. Pedro De Valdivia Esq. / Biarritz","-33.4337969788432","-70.6088629734909","","","",""
"PC7","PARADEROS TRANSANTIAGO","PC7 - Av. Pedro De Valdivia Esq. / Avenida Pocuro","-33.4360287253167","-70.6082050035324","","","",""
"PC8","PARADEROS TRANSANTIAGO","PC8 - Parada 3 / Plaza   Pedro De Valdivia","-33.438095969515","-70.6075890382024","","","",""
"PC9","PARADEROS TRANSANTIAGO","PC9 - Av. Pedro De Valdivia Esq. / Bustos","-33.4401810128462","-70.6071509701598","","","",""
"PC10","PARADEROS TRANSANTIAGO","PC10 - Parada  / The Kent School","-33.4424781013872","-70.6067317455559","","","",""
"PC11","PARADEROS TRANSANTIAGO","PC11 - Av. Pedro De Valdivia Esq. / Dr. P. Lautaro Ferrer","-33.445176008511","-70.6063020334066","","","",""
"PC12","PARADEROS TRANSANTIAGO","PC12 - Parada  / The Kent School","-33.4432819944758","-70.606419009786","","","",""
"PC13","PARADEROS TRANSANTIAGO","PC13 - Av. Pedro De Valdivia Esq. / Bustos","-33.4404283382604","-70.6069183412672","","","",""
