usuario,seguidores,residencia,fecha,hora,fuente
Ancorosa,1948,La Reina,01/04/2017,2:23:21,Android
lorinthebigcity,408,Las Condes,01/04/2017,2:23:28,iPhone
Ancorosa,1948,La Reina,01/04/2017,2:24:10,Android
Ancorosa,1948,La Reina,01/04/2017,2:25:3,Android
moni_dattoli,159,Ñuñoa,01/04/2017,2:25:13,iPhone
solesilba,230,Las Condes,01/04/2017,2:26:6,Android
Angelectrica,617,Ñuñoa,01/04/2017,2:26:16,Android
lorinthebigcity,415,Las Condes,01/04/2017,2:27:3,iPhone
lorinthebigcity,418,Las Condes,01/04/2017,2:31:19,iPhone
Galdar,1869,Recoleta,01/04/2017,2:31:32,Android
lorinthebigcity,420,Las Condes,01/04/2017,2:32:1,iPhone
pacitamona,3392,Las Condes,01/04/2017,2:32:25,Android
lorinthebigcity,421,Las Condes,01/04/2017,2:32:35,iPhone
BorisKisiliuk,136,Las Condes,01/04/2017,2:33:36,iPhone
lorinthebigcity,421,Las Condes,01/04/2017,2:33:57,iPhone
pacitamona,3392,Las Condes,01/04/2017,2:34:26,Android
lorinthebigcity,421,Las Condes,01/04/2017,2:34:45,iPhone
Ancorosa,1949,La Reina,01/04/2017,2:34:47,Android
oe_kimi,420,Santiago,01/04/2017,2:35:22,Android
lorinthebigcity,421,Las Condes,01/04/2017,2:35:33,iPhone
opinante2020,756,Santiago,01/04/2017,2:36:16,Android
AMOrellana,328,Ñuñoa,01/04/2017,2:36:52,iPhone
VMej14s,103,Santiago,01/04/2017,2:37:41,Android
oe_kimi,420,Santiago,01/04/2017,2:37:46,Android
